1	0
2	0
5	0
6	0
8	0
9	0
10	0
11	0
12	0
14	0
16	0
17	0
18	0
19	0
20	0
22	0
23	0
24	0
25	0
27	0
28	0
30	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
1	1
2	1
8	1
10	1
11	1
13	1
14	1
15	1
18	1
21	1
22	1
23	1
24	1
25	1
27	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
42	1
43	1
44	1
45	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
1	2
2	2
3	2
5	2
6	2
7	2
13	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
25	2
26	2
27	2
28	2
29	2
31	2
32	2
33	2
35	2
37	2
38	2
39	2
40	2
41	2
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
2	3
5	3
7	3
9	3
10	3
12	3
14	3
15	3
16	3
17	3
18	3
19	3
20	3
21	3
23	3
24	3
25	3
26	3
27	3
28	3
29	3
30	3
33	3
34	3
35	3
36	3
37	3
38	3
39	3
40	3
41	3
42	3
44	3
46	3
47	3
48	3
51	3
52	3
53	3
59	3
60	3
65	3
66	3
67	3
69	3
70	3
71	3
72	3
73	3
74	3
75	3
76	3
77	3
78	3
1	4
2	4
5	4
8	4
9	4
10	4
11	4
12	4
13	4
14	4
15	4
16	4
17	4
18	4
19	4
20	4
21	4
22	4
23	4
24	4
25	4
26	4
27	4
28	4
29	4
30	4
32	4
33	4
34	4
35	4
36	4
