0	0	10.1456774551956
3	0	8.64673869830785
4	0	7.44625622988956
7	0	6.65535182861255
13	0	5
15	0	3
21	0	3
26	0	4
29	0	3
31	0	4
0	1	11
3	1	8
4	1	7
5	1	10
6	1	6
7	1	6
9	1	4
12	1	3.50015411291679
16	1	3
17	1	3
19	1	4
20	1	3
26	1	4
28	1	3.50015411291679
40	1	3
41	1	4
46	1	5.25046573233074
61	1	4
0	2	11.8617072865859
4	2	8.86294724802092
8	2	5
9	2	5
10	2	5.3332434081152
11	2	3.8073549220576
12	2	4.50015411291679
14	2	5
15	2	4
24	2	7
30	2	3
34	2	5
36	2	4
0	3	11.999
1	3	10
3	3	11
4	3	6.40599235967584
6	3	4
8	3	4
11	3	2
13	3	5
22	3	4.04580368961313
31	3	4
32	3	2
43	3	5.22785040921546
45	3	2.41503749927884
49	3	2.41503749927884
50	3	3.41503749927884
54	3	3.1926450779424
55	3	5.07637538863168
56	3	3
57	3	4.41503749927884
58	3	3.44426052081948
61	3	4
62	3	4
63	3	3.20753504002006
64	3	5.41503749927884
68	3	2.41503749927884
0	4	10
3	4	9
4	4	7.58496250072116
6	4	7
7	4	8
31	4	4
0	5	11.999
3	5	9
6	5	6
7	5	6.51096191927738
8	5	5
9	5	5
10	5	5.3332434081152
11	5	4.58496250072116
12	5	4.50015411291679
14	5	5
15	5	4
24	5	7
30	5	3
31	5	4
34	5	5
36	5	4
0	6	10.7918140711618
3	6	8.50143914515887
4	6	7.49825086752783
6	6	6.0703893278914
7	6	6.20163386116965
8	6	5
9	6	5
11	6	3.32192809488736
12	6	4.50015411291679
13	6	5
14	6	5
15	6	3
21	6	3
24	6	7
26	6	4
30	6	3
31	6	4
34	6	5
0	7	11.7931155552743
3	7	9
6	7	6.51096191927738
7	7	6.20163386116965
8	7	5
9	7	5
11	7	3
12	7	4.50015411291679
13	7	5
14	7	5
15	7	3
21	7	3
24	7	7
26	7	4
30	7	3
34	7	5
36	7	4
0	8	10
3	8	8
4	8	7
6	8	5.26303440583379
7	8	6.20163386116965
8	8	5
9	8	5
10	8	4.3332434081152
12	8	4.50015411291679
13	8	5
14	8	5
15	8	3
21	8	3
24	8	7
26	8	4
30	8	3
31	8	4
34	8	5
36	8	4
0	9	9.04439411935845
3	9	8.29278174922785
4	9	6.51096191927738
7	9	5.80735492205761
8	9	5
9	9	5
10	9	4.3332434081152
12	9	4.50015411291679
14	9	5
15	9	3
21	9	3
24	9	7
26	9	4
28	9	4.50015411291679
29	9	3
30	9	3
31	9	4
36	9	4
0	10	11.4998458870832
4	10	7.79701297783615
7	10	7.15380533607904
8	10	5
9	10	5
12	10	4.50015411291679
13	10	5
14	10	5
24	10	7
26	10	4
28	10	4.50015411291679
30	10	3
31	10	4
34	10	5
36	10	4
0	11	11.4998458870832
3	11	9.49984588708321
4	11	8
6	11	7.29278174922785
7	11	7.12101540096137
8	11	5
11	11	3.8073549220576
12	11	4.50015411291679
13	11	5
14	11	5
15	11	3
21	11	3
24	11	7
26	11	4
30	11	3
31	11	4
34	11	5
36	11	4
1	12	11.999
4	12	11
6	12	9
8	12	4
13	12	5
22	12	4.04580368961313
31	12	4
32	12	2
36	12	3
37	12	2
43	12	5.22785040921546
49	12	2.41503749927884
0	13	10.5014391451589
3	13	9.49984588708321
4	13	8.49825086752783
6	13	8.49825086752783
8	13	5
9	13	5
11	13	5
12	13	4.50015411291679
13	13	5
14	13	5
15	13	3
21	13	3
24	13	7
26	13	4
30	13	3
34	13	5
36	13	4
0	14	8
